tract,tree_cover,building_density,building_height_mean,median_income,population_density,mean_temp,max_temp
8101,53.2,300.67,6.2,23846,403.322,91.46,93.68
8103,40.6,610.45,6.55,45673,689.402,91.61,93.93
8104,20.9,857.47,6.32,56875,1820.586,92.02,93.93
8105,51.6,589.51,6.3,35821,908.116,91.24,92.37
8106,33.1,931.95,6.04,24688,1293.453,91.42,92.59
8107,39.1,946.5,6.22,25385,1511.202,91.48,93.93
8109,42.3,748.36,6.43,71033,1104.074,91.13,93.62
8110,59.5,247.66,6.58,55918,499.76,90.93,93.46
8111,56.2,173.38,6.67,59495,326.616,91.22,93.69
8112,53.1,173.88,6.58,49410,252.683,91.24,93.72
8113,35.3,506.28,6.57,43881,1100.33,91.99,93.98
